06/03/2023 12:09:17

Statistics:

AP = Adjacency Precision
AR = Adjacency Recall
AHP = Arrowhead Precicion
AHR = Arrowhead Recall
McAdj = Matthews correlation coefficient for adjacencies
McArrow = Matthews correlation coefficient for arrowheads
F1Adj = F1 statistics for adjacencies
F1Arrow = F1 statistics for arrowheads
SHD = Structural Hamming Distance
E = Elapsed time in seconds

Simulation:

reps: 10
number of variables: [10, 20]
average degree: [2, 4]
rnumber of samples: [1000, 10000]


Algorithms:

1. PC_CL
2. PC_CC
3. PCMAX_CC
4. FGES_CC
5. FCI_CL
6. GRASP_CC
7. GESBIC_CL
8. GESCV_CL

* Opening the Causal Command jar and loading in the data is considered in the Elapsed time for CC algorithms *

Average:

	Alg   AP     AR     AHP    AHPC   AHR    AHRC   McAdj  McArr  F1Adj  F1Arr  SHD    E
	8     1.00   0.90   1.00   1.00   0.83   1.00   0.94   0.91   0.95   0.91   0.00   0.95   
	8     0.73   0.70   0.28   0.38   0.28   0.38   0.50   0.12   0.72   0.28   3.00   1.92   
	8     0.61   0.85   0.17   0.26   0.38   0.42   0.50   0.08   0.75   0.24   2.00   2.27   
	8     1.00   0.80   0.53   0.53   0.53   0.57   0.88   0.52   0.89   0.53   0.00   12.00   
	8     0.95   0.90   0.64   0.69   0.56   0.60   0.91   0.61   0.92   0.62   0.00   14.53   
	8     0.62   0.80   0.44   0.61   0.49   0.63   0.63   0.46   0.71   0.51   9.00   30.29   
	8     0.53   0.82   0.28   0.55   0.42   0.52   0.55   0.26   0.65   0.34   0.00   27.20   

Median Case:

	Alg   AP     AR     AHP    AHPC   AHR    AHRC   McAdj  McArr  F1Adj  F1Arr  SHD    E
	1     1.00   0.85   0.93   0.93   0.69   0.85   0.90   0.75   0.92   0.76   2.00   0.03   
	1     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   0.00   0.04   
	1     1.00   0.65   0.75   0.78   0.42   0.80   0.69   0.50   0.77   0.54   9.00   0.08   
	1     1.00   0.75   0.80   0.80   0.58   0.75   0.79   0.65   0.86   0.68   6.50   0.12   
	1     1.00   0.88   0.91   0.91   0.82   0.93   0.91   0.87   0.92   0.87   3.50   0.11   
	1     0.97   0.95   0.91   0.97   0.87   0.93   0.94   0.90   0.95   0.91   3.00   0.12   
	1     1.00   0.70   0.86   0.86   0.59   0.86   0.80   0.70   0.82   0.70   14.00   0.32   
	1     0.97   0.80   0.80   0.86   0.69   0.92   0.84   0.70   0.86   0.72   12.00   0.49   
	2     1.00   0.85   0.43   0.43   0.35   0.46   0.90   0.36   0.92   nan    4.00   2.55   
	2     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   0.00   3.01   
	2     1.00   0.65   0.44   0.44   0.33   0.50   0.67   0.27   0.76   nan    12.00   2.57   
	2     1.00   0.80   0.35   0.35   0.32   0.41   0.81   0.21   0.88   0.34   10.50   3.03   
	2     1.00   0.88   0.59   0.61   0.58   0.63   0.91   0.58   0.92   0.58   5.50   2.74   
	2     0.97   0.95   0.65   0.67   0.61   0.65   0.94   0.60   0.95   0.61   5.00   3.53   
	2     0.98   0.71   0.35   0.37   0.28   0.37   0.80   0.25   0.83   0.31   24.50   2.87   
	2     0.96   0.80   0.45   0.48   0.39   0.51   0.84   0.37   0.86   0.42   21.50   2.91   
	3     1.00   0.85   0.93   1.00   0.67   0.85   0.90   0.75   0.92   0.76   2.00   2.54   
	3     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   0.00   3.04   
	3     1.00   0.65   0.64   0.68   0.41   0.60   0.67   0.39   0.76   0.46   10.00   2.63   
	3     1.00   0.80   0.80   0.88   0.65   0.81   0.81   0.65   0.88   0.71   6.00   3.12   
	3     1.00   0.88   1.00   1.00   0.80   0.93   0.91   0.84   0.92   0.84   4.00   2.77   
	3     0.97   0.95   0.97   1.00   0.87   0.93   0.94   0.92   0.95   0.92   3.00   3.47   
	3     0.98   0.71   0.74   0.76   0.56   0.79   0.80   0.61   0.83   0.63   15.50   2.93   
	3     0.96   0.80   0.82   0.89   0.72   0.91   0.84   0.75   0.86   0.76   11.00   2.96   
	4     0.95   0.90   0.75   0.82   0.56   0.70   0.87   0.62   0.89   0.64   3.00   2.59   
	4     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   0.00   3.08   
	4     0.83   0.82   0.54   0.71   0.67   0.79   0.69   0.55   0.83   0.62   10.00   2.75   
	4     0.76   0.90   0.50   0.64   0.63   0.65   0.65   0.43   0.81   0.53   11.50   3.31   
	4     1.00   0.93   1.00   1.00   0.92   1.00   0.96   0.96   0.96   0.96   2.00   2.88   
	4     0.97   0.95   0.97   1.00   0.87   0.93   0.94   0.87   0.95   0.87   2.50   3.64   
	4     0.86   0.86   0.71   0.83   0.75   0.88   0.82   0.73   0.85   0.75   15.50   3.15   
	4     0.86   0.94   0.71   0.86   0.83   0.90   0.89   0.76   0.91   0.78   11.00   3.29   
	5     1.00   0.85   0.58   0.61   0.72   0.87   0.90   0.68   0.92   0.67   4.00   0.03   
	5     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   0.00   0.04   
	5     1.00   0.65   0.54   0.55   0.59   0.92   0.69   0.49   0.78   0.56   12.00   0.09   
	5     1.00   0.75   0.54   0.57   0.69   0.92   0.77   0.47   0.84   0.56   12.50   0.15   
	5     1.00   0.88   0.66   0.66   0.85   0.96   0.91   0.76   0.92   0.76   5.00   0.11   
	5     0.97   0.95   0.70   0.76   0.90   0.97   0.94   0.80   0.95   0.80   5.50   0.12   
	5     1.00   0.70   0.58   0.60   0.62   0.92   0.80   0.57   0.82   0.61   25.50   0.33   
	5     0.98   0.80   0.57   0.60   0.75   0.98   0.84   0.61   0.86   0.65   22.50   0.59   
	6     1.00   0.90   1.00   1.00   0.78   0.88   0.94   0.85   0.95   0.85   1.50   2.53   
	6     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   0.00   3.03   
	6     1.00   0.88   1.00   1.00   0.84   1.00   0.89   0.90   0.93   0.91   2.50   2.59   
	6     1.00   0.95   1.00   1.00   0.97   1.00   0.96   0.98   0.97   0.99   1.00   3.02   
	6     1.00   0.93   1.00   1.00   0.92   1.00   0.96   0.96   0.96   0.96   1.50   2.75   
	6     1.00   0.95   1.00   1.00   0.97   1.00   0.97   0.98   0.97   0.98   1.00   3.52   
	6     1.00   0.89   0.98   1.00   0.86   1.00   0.92   0.91   0.93   0.92   5.00   2.84   
	6     1.00   0.96   1.00   1.00   0.95   0.99   0.98   0.97   0.98   0.97   1.50   2.94   
	7     1.00   0.90   0.92   0.92   0.76   0.82   0.91   0.76   0.93   0.76   2.00   0.98   
	7     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   0.00   1.32   
	7     0.87   0.85   0.56   0.71   0.61   0.73   0.71   0.52   0.84   0.60   9.50   2.16   
	7     0.74   0.90   0.49   0.64   0.62   0.69   0.61   0.42   0.79   0.53   13.50   3.29   
	7     1.00   0.93   1.00   1.00   0.92   1.00   0.96   0.96   0.96   0.96   2.00   15.76   
	7     1.00   0.95   1.00   1.00   0.87   0.93   0.94   0.92   0.95   0.92   2.00   17.41   
	7     0.86   0.85   0.60   0.72   0.71   0.81   0.81   0.62   0.85   0.65   19.00   36.70   
	7     0.91   0.95   0.78   0.89   0.82   0.90   0.92   0.80   0.93   0.82   9.00   36.83   
	8     1.00   0.90   0.92   0.92   0.76   0.82   0.91   0.76   0.93   0.76   2.00   0.97   
	8     1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   0.00   1.32   
	8     0.87   0.85   0.56   0.71   0.61   0.73   0.71   0.52   0.84   0.60   9.50   2.15   
	8     0.74   0.90   0.49   0.64   0.62   0.69   0.61   0.42   0.79   0.53   13.50   3.28   
	8     1.00   0.93   1.00   1.00   0.92   1.00   0.96   0.96   0.96   0.96   2.00   15.81   
	8     1.00   0.95   1.00   1.00   0.87   0.93   0.94   0.92   0.95   0.92   2.00   17.51   
	8     0.86   0.85   0.60   0.72   0.71   0.81   0.81   0.62   0.85   0.65   19.00   36.62   
	8     0.91   0.95   0.78   0.89   0.82   0.90   0.92   0.80   0.93   0.82   9.00   35.09   

